# upstream_commit	e56521e3234131a2c1639a74e2f15fff643acf30
upstream_path	area	kind	status	bulb_path	notes
packages/ai/src/oauth.ts	bulb_ai	source	pending		
packages/ai/src/providers/amazon-bedrock.ts	bulb_ai	source	pending		
packages/ai/src/providers/anthropic.ts	bulb_ai	source	pending		
packages/ai/src/providers/azure-openai-responses.ts	bulb_ai	source	pending		
packages/ai/src/providers/cloudflare.ts	bulb_ai	source	pending		
packages/ai/src/providers/faux.ts	bulb_ai	source	in_progress	src/bulb_ai/faux_provider.zig	Registration, models, queueing, factories, usage, cache simulation, registry dispatch, delta streams, aborts, and unregister ported; paced async delivery remains
packages/ai/src/providers/github-copilot-headers.ts	bulb_ai	source	pending		
packages/ai/src/providers/google-shared.ts	bulb_ai	source	pending		
packages/ai/src/providers/google-vertex.ts	bulb_ai	source	pending		
packages/ai/src/providers/google.ts	bulb_ai	source	pending		
packages/ai/src/providers/images/openrouter.ts	bulb_ai	source	pending		
packages/ai/src/providers/images/register-builtins.ts	bulb_ai	source	pending		
packages/ai/src/providers/mistral.ts	bulb_ai	source	pending		
packages/ai/src/providers/openai-codex-responses.ts	bulb_ai	source	pending		
packages/ai/src/providers/openai-completions.ts	bulb_ai	source	pending		
packages/ai/src/providers/openai-prompt-cache.ts	bulb_ai	source	pending		
packages/ai/src/providers/openai-responses-shared.ts	bulb_ai	source	pending		
packages/ai/src/providers/openai-responses.ts	bulb_ai	source	pending		
packages/ai/src/providers/register-builtins.ts	bulb_ai	source	pending		
packages/ai/src/providers/simple-options.ts	bulb_ai	source	pending		
packages/ai/src/providers/transform-messages.ts	bulb_ai	source	pending		
packages/ai/src/session-resources.ts	bulb_ai	source	pending		
packages/ai/src/stream.ts	bulb_ai	source	pending		
packages/ai/src/types.ts	bulb_ai	source	in_progress	src/bulb_ai/types.zig	Core messages, contexts, options, usage accounting, models, and stream event protocol started
packages/ai/src/utils/abort-signals.ts	bulb_ai	source	pending		
packages/ai/src/utils/diagnostics.ts	bulb_ai	source	pending		
packages/ai/src/utils/event-stream.ts	bulb_ai	source	pending		
packages/ai/src/utils/hash.ts	bulb_ai	source	pending		
packages/ai/src/utils/headers.ts	bulb_ai	source	pending		
packages/ai/src/utils/json-parse.ts	bulb_ai	source	pending		
packages/ai/src/utils/node-http-proxy.ts	bulb_ai	source	pending		
packages/ai/src/utils/oauth/anthropic.ts	bulb_ai	source	pending		
packages/ai/src/utils/oauth/device-code.ts	bulb_ai	source	pending		
packages/ai/src/utils/oauth/github-copilot.ts	bulb_ai	source	pending		
packages/ai/src/utils/oauth/index.ts	bulb_ai	source	pending		
packages/ai/src/utils/oauth/oauth-page.ts	bulb_ai	source	pending		
packages/ai/src/utils/oauth/openai-codex.ts	bulb_ai	source	pending		
packages/ai/src/utils/oauth/pkce.ts	bulb_ai	source	pending		
packages/ai/src/utils/oauth/types.ts	bulb_ai	source	pending		
packages/ai/src/utils/overflow.ts	bulb_ai	source	pending		
packages/ai/src/utils/sanitize-unicode.ts	bulb_ai	source	pending		
packages/ai/src/utils/typebox-helpers.ts	bulb_ai	source	pending		
packages/ai/src/utils/validation.ts	bulb_ai	source	pending		
packages/ai/test/abort.test.ts	bulb_ai	test	pending		
packages/ai/test/anthropic-adaptive-thinking-models.test.ts	bulb_ai	test	pending		
packages/ai/test/anthropic-eager-tool-input-compat.test.ts	bulb_ai	test	pending		
packages/ai/test/anthropic-eager-tool-input-e2e.test.ts	bulb_ai	test	pending		
packages/ai/test/anthropic-empty-thinking-signature-compat.test.ts	bulb_ai	test	pending		
packages/ai/test/anthropic-force-adaptive-thinking.test.ts	bulb_ai	test	pending		
packages/ai/test/anthropic-long-cache-retention-e2e.test.ts	bulb_ai	test	pending		
packages/ai/test/anthropic-oauth.test.ts	bulb_ai	test	pending		
packages/ai/test/anthropic-opus-4-8-smoke.test.ts	bulb_ai	test	pending		
packages/ai/test/anthropic-sse-parsing.test.ts	bulb_ai	test	pending		
packages/ai/test/anthropic-temperature-compat.test.ts	bulb_ai	test	pending		
packages/ai/test/anthropic-thinking-disable.test.ts	bulb_ai	test	pending		
packages/ai/test/anthropic-tool-name-normalization.test.ts	bulb_ai	test	pending		
packages/ai/test/azure-openai-base-url.test.ts	bulb_ai	test	pending		
packages/ai/test/azure-utils.ts	bulb_ai	test	pending		
packages/ai/test/bedrock-convert-messages.test.ts	bulb_ai	test	pending		
packages/ai/test/bedrock-custom-headers.test.ts	bulb_ai	test	pending		
packages/ai/test/bedrock-endpoint-resolution.test.ts	bulb_ai	test	pending		
packages/ai/test/bedrock-models.test.ts	bulb_ai	test	pending		
packages/ai/test/bedrock-thinking-payload.test.ts	bulb_ai	test	pending		
packages/ai/test/bedrock-utils.ts	bulb_ai	test	pending		
packages/ai/test/cache-retention.test.ts	bulb_ai	test	pending		
packages/ai/test/cloudflare-utils.ts	bulb_ai	test	pending		
